ext_sector,fuel,breakdown
1A4c_Agriculture-forestry-fishing,brown_coal,0
Industry,brown_coal,1
Other_feedstocks,brown_coal,0
Power,brown_coal,0
RCO,brown_coal,0
Shipping,brown_coal,0
Transportation,brown_coal,0
Other_transformation,brown_coal,0
Other_transformation,coal_coke,0
1A4c_Agriculture-forestry-fishing,coal_coke,0
Industry,coal_coke,1
Other_feedstocks,coal_coke,0
Power,coal_coke,0
RCO,coal_coke,0
Shipping,coal_coke,0
Transportation,coal_coke,0
1A4c_Agriculture-forestry-fishing,diesel_oil,0
Industry,diesel_oil,1
Other_feedstocks,diesel_oil,0
Power,diesel_oil,0
RCO,diesel_oil,0
Shipping,diesel_oil,0
Transportation,diesel_oil,0
1A4c_Agriculture-forestry-fishing,hard_coal,0
Industry,hard_coal,1
Other_feedstocks,hard_coal,0
Power,hard_coal,0
RCO,hard_coal,0
Shipping,hard_coal,0
Transportation,hard_coal,0
Other_transformation,hard_coal,0
1A4c_Agriculture-forestry-fishing,heavy_oil,0
Industry,heavy_oil,1
Other_feedstocks,heavy_oil,0
Power,heavy_oil,0
RCO,heavy_oil,0
Shipping,heavy_oil,0
Transportation,heavy_oil,0
1A4c_Agriculture-forestry-fishing,light_oil,0
Industry,light_oil,0
Other_feedstocks,light_oil,0
Power,light_oil,0
RCO,light_oil,1
Shipping,light_oil,0
Transportation,light_oil,0
1A4c_Agriculture-forestry-fishing,natural_gas,0
Industry,natural_gas,0.5
Other_feedstocks,natural_gas,0
Power,natural_gas,0
RCO,natural_gas,0.5
Shipping,natural_gas,0
Transportation,natural_gas,0
Other_transformation,natural_gas,0
Other_transformation,oil,1
