emission,iso,sector,fuel,units,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018
NH3,usa,1A2g_Ind-Comb-Construction,diesel_oil,kt/kt,2.54454E-05,2.54422E-05,2.5439E-05,2.54359E-05,2.54328E-05,2.54297E-05,2.54267E-05,2.54237E-05,2.54207E-05,2.54178E-05,2.5408E-05,2.53987E-05,2.539E-05,2.53818E-05,2.53725E-05,2.53635E-05,2.53549E-05,2.53465E-05,2.53384E-05,2.5335E-05,2.53314E-05,2.53278E-05,2.53241E-05,2.53203E-05,2.53144E-05,2.53087E-05,2.53031E-05,2.52978E-05,2.52926E-05
NH3,usa,1A2g_Ind-Comb-Construction,light_oil,kt/kt,4.67975E-05,4.67086E-05,4.66213E-05,4.65358E-05,4.64518E-05,4.63695E-05,4.62887E-05,4.62094E-05,4.61316E-05,4.60552E-05,4.59077E-05,4.57628E-05,4.56205E-05,4.54807E-05,4.51722E-05,4.48691E-05,4.45712E-05,4.42784E-05,4.39906E-05,4.37511E-05,4.35125E-05,4.32746E-05,4.30375E-05,4.28012E-05,4.26584E-05,4.2519E-05,4.23832E-05,4.22506E-05,4.21212E-05
NH3,usa,1A4c_Agriculture-forestry-fishing,diesel_oil,kt/kt,2.54454E-05,2.54422E-05,2.5439E-05,2.54359E-05,2.54328E-05,2.54297E-05,2.54267E-05,2.54237E-05,2.54207E-05,2.54178E-05,2.5408E-05,2.53987E-05,2.539E-05,2.53818E-05,2.53725E-05,2.53635E-05,2.53549E-05,2.53465E-05,2.53384E-05,2.5335E-05,2.53314E-05,2.53278E-05,2.53241E-05,2.53203E-05,2.53144E-05,2.53087E-05,2.53031E-05,2.52978E-05,2.52926E-05
NH3,usa,1A4c_Agriculture-forestry-fishing,light_oil,kt/kt,4.67975E-05,4.67086E-05,4.66213E-05,4.65358E-05,4.64518E-05,4.63695E-05,4.62887E-05,4.62094E-05,4.61316E-05,4.60552E-05,4.59077E-05,4.57628E-05,4.56205E-05,4.54807E-05,4.51722E-05,4.48691E-05,4.45712E-05,4.42784E-05,4.39906E-05,4.37511E-05,4.35125E-05,4.32746E-05,4.30375E-05,4.28012E-05,4.26584E-05,4.2519E-05,4.23832E-05,4.22506E-05,4.21212E-05
NH3,can,1A2g_Ind-Comb-Construction,diesel_oil,kt/kt,2.54454E-05,2.54422E-05,2.5439E-05,2.54359E-05,2.54328E-05,2.54297E-05,2.54267E-05,2.54237E-05,2.54207E-05,2.54178E-05,2.5408E-05,2.53987E-05,2.539E-05,2.53818E-05,2.53725E-05,2.53635E-05,2.53549E-05,2.53465E-05,2.53384E-05,2.5335E-05,2.53314E-05,2.53278E-05,2.53241E-05,2.53203E-05,2.53144E-05,2.53087E-05,2.53031E-05,2.52978E-05,2.52926E-05
NH3,can,1A2g_Ind-Comb-Construction,light_oil,kt/kt,4.67975E-05,4.67086E-05,4.66213E-05,4.65358E-05,4.64518E-05,4.63695E-05,4.62887E-05,4.62094E-05,4.61316E-05,4.60552E-05,4.59077E-05,4.57628E-05,4.56205E-05,4.54807E-05,4.51722E-05,4.48691E-05,4.45712E-05,4.42784E-05,4.39906E-05,4.37511E-05,4.35125E-05,4.32746E-05,4.30375E-05,4.28012E-05,4.26584E-05,4.2519E-05,4.23832E-05,4.22506E-05,4.21212E-05
NH3,can,1A4c_Agriculture-forestry-fishing,diesel_oil,kt/kt,2.54454E-05,2.54422E-05,2.5439E-05,2.54359E-05,2.54328E-05,2.54297E-05,2.54267E-05,2.54237E-05,2.54207E-05,2.54178E-05,2.5408E-05,2.53987E-05,2.539E-05,2.53818E-05,2.53725E-05,2.53635E-05,2.53549E-05,2.53465E-05,2.53384E-05,2.5335E-05,2.53314E-05,2.53278E-05,2.53241E-05,2.53203E-05,2.53144E-05,2.53087E-05,2.53031E-05,2.52978E-05,2.52926E-05
NH3,can,1A4c_Agriculture-forestry-fishing,light_oil,kt/kt,4.67975E-05,4.67086E-05,4.66213E-05,4.65358E-05,4.64518E-05,4.63695E-05,4.62887E-05,4.62094E-05,4.61316E-05,4.60552E-05,4.59077E-05,4.57628E-05,4.56205E-05,4.54807E-05,4.51722E-05,4.48691E-05,4.45712E-05,4.42784E-05,4.39906E-05,4.37511E-05,4.35125E-05,4.32746E-05,4.30375E-05,4.28012E-05,4.26584E-05,4.2519E-05,4.23832E-05,4.22506E-05,4.21212E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
