"iso","sector","fuel","units","X1850","X1851","X1852","X1853","X1854","X1855","X1856","X1857","X1858","X1859","X1860","X1861","X1862","X1863","X1864","X1865","X1866","X1867","X1868","X1869","X1870","X1871","X1872","X1873","X1874","X1875","X1876","X1877","X1878","X1879","X1880","X1881","X1882","X1883","X1884","X1885","X1886","X1887","X1888","X1889","X1890","X1891","X1892","X1893","X1894","X1895","X1896","X1897","X1898","X1899","X1900","X1901","X1902","X1903","X1904","X1905","X1906","X1907","X1908","X1909","X1910","X1911","X1912","X1913","X1914","X1915","X1916","X1917","X1918","X1919","X1920","X1921","X1922","X1923","X1924","X1925","X1926","X1927","X1928","X1929","X1930","X1931","X1932","X1933","X1934","X1935","X1936","X1937","X1938","X1939","X1940","X1941","X1942","X1943","X1944","X1945","X1946","X1947","X1948","X1949","X1950","X1951","X1952","X1953","X1954","X1955","X1956","X1957","X1958","X1959","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014"
"mng","1A1bc_Other-transformation","process","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.265","0.265","0.265","0.265","0.265"
"tza","1A1bc_Other-transformation","process","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"zmb","1A1bc_Other-transformation","process","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.03","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"alb","1A1bc_Other-transformation","process","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.005","0.0054","0.0058","0.0062","0.0066","0.007","0.0082","0.0094","0.0106","0.0118","0.013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"arg","1A1bc_Other-transformation","process","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.021","0.042","0.063","0.084","0.105","0.126","0.237","0.348","0.459","0.57","0.681","0.644","0.607","0.57","0.533","0.496","0.5526","0.6092","0.6658","0.7224","0.779","0.7168","0.6546","0.5924","0.5302","0.468","0.467","0.466","0.465","0.464","0.463","0.4338","0.4046","0.3754","0.3462","0.317","0.3168","0.3166","0.3164","0.3162","0.316","0.3376","0.3592","0.3808","0.4024","0.424","0.3838","0.3436","0.3034","0.2632","0.223","0.2206","0.2182","0.2158","0.2134","0.211","0.2286","0.2462","0.2638","0.2814","0.299","0.2914","0.2838","0.2762","0.2686","0.261","0.261","0.261","0.261","0.261"
"aus","1A1bc_Other-transformation","process","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.158","0.2118","0.2656","0.3194","0.3732","0.427","0.4854","0.5438","0.6022","0.6606","0.719","0.7038","0.6886","0.6734","0.6582","0.643","0.578","0.513","0.448","0.383","0.318","0.3592","0.4004","0.4416","0.4828","0.524","0.5598","0.5956","0.6314","0.6672","0.703","0.6706","0.6382","0.6058","0.5734","0.541","0.529","0.517","0.505","0.493","0.481","0.5376","0.5942","0.6508","0.7074","0.764","0.786","0.808","0.83","0.852","0.874","0.9138","0.9536","0.9934","1.0332","1.073","1.1914","1.3098","1.4282","1.5466","1.665","1.7506","1.8362","1.9218","2.0074","2.093","1.9678","1.8426","1.7174","1.5922","1.467","1.4014","1.3358","1.2702","1.2046","1.139","1.158","1.177","1.196","1.215","1.234","1.2316","1.2292","1.2268","1.2244","1.222","1.1774","1.1328","1.0882","1.0436","0.999","0.9848","0.9706","0.9564","0.9422","0.928","0.915","0.902","0.889","0.876","0.863","0.863","0.863","0.863","0.863"
"aut","1A1bc_Other-transformation","process","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.205","0.2736","0.3422","0.4108","0.4794","0.548","0.4988","0.4496","0.4004","0.3512","0.302","0.27","0.238","0.206","0.174","0.142","0.1297","0.1174","0.1051","0.0928","0.0805","0.0682","0.0559","0.0436","0.0313","0.019","0.1438","0.2686","0.3934","0.5182","0.643","0.667","0.691","0.715","0.739","0.763","0.7434","0.7238","0.7042","0.6846","0.665","0.647","0.629","0.611","0.593","0.575","0.5632","0.5514","0.5396","0.5278","0.516","0.5038","0.4916","0.4794","0.4672","0.455","0.4626","0.4702","0.4778","0.4854","0.493","0.4938","0.4946","0.4954","0.4962","0.497","0.4948","0.4926","0.4904","0.4882","0.486","0.4682","0.4504","0.4326","0.4148","0.397","0.3958","0.3946","0.3934","0.3922","0.391","0.3918","0.3926","0.3934","0.3942","0.395","0.3982","0.4014","0.4046","0.4078","0.411","0.411","0.411","0.411","0.411"
"bel","1A1bc_Other-transformation","process","kt","2.42","2.823","3.226","3.629","4.032","4.435","4.4222","4.4094","4.3966","4.3838","4.371","4.666","4.961","5.256","5.551","5.846","5.9594","6.0728","6.1862","6.2996","6.413","6.1762","5.9394","5.7026","5.4658","5.229","5.1842","5.1394","5.0946","5.0498","5.005","5.1154","5.2258","5.3362","5.4466","5.557","5.6172","5.6774","5.7376","5.7978","5.858","5.8208","5.7836","5.7464","5.7092","5.672","5.7752","5.8784","5.9816","6.0848","6.188","6.2472","6.3064","6.3656","6.4248","6.484","6.612","6.74","6.868","6.996","7.124","5.7382","4.3524","2.9666","1.5808","0.195","0.6146","1.0342","1.4538","1.8734","2.293","2.568","2.843","3.118","3.393","3.668","3.6182","3.5684","3.5186","3.4688","3.419","3.1822","2.9454","2.7086","2.4718","2.235","1.9924","1.7498","1.5072","1.2646","1.022","0.8876","0.7532","0.6188","0.4844","0.35","0.5838","0.8176","1.0514","1.2852","1.519","1.6328","1.7466","1.8604","1.9742","2.088","2.1312","2.1744","2.2176","2.2608","2.304","2.3122","2.3204","2.3286","2.3368","2.345","2.2904","2.2358","2.1812","2.1266","2.072","1.9656","1.8592","1.7528","1.6464","1.54","1.5628","1.5856","1.6084","1.6312","1.654","1.6468","1.6396","1.6324","1.6252","1.618","1.5922","1.5664","1.5406","1.5148","1.489","1.3876","1.2862","1.1848","1.0834","0.982","0.946","0.91","0.874","0.838","0.802","0.782","0.762","0.742","0.722","0.702","0.6696","0.6372","0.6048","0.5724","0.54","0.54","0.54","0.54","0.54"
"bgr","1A1bc_Other-transformation","process","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.161","0.1752","0.1894","0.2036","0.2178","0.232","0.2612","0.2904","0.3196","0.3488","0.378","0.3826","0.3872","0.3918","0.3964","0.401","0.3854","0.3698","0.3542","0.3386","0.323","0.3356","0.3482","0.3608","0.3734","0.386","0.3792","0.3724","0.3656","0.3588","0.352","0.3368","0.3216","0.3064","0.2912","0.276","0.2646","0.2532","0.2418","0.2304","0.219","0","0","0","0","0","0","0","0","0"
"bih","1A1bc_Other-transformation","process","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.004","0.0104","0.0168","0.0232","0.0296","0.036","0.0318","0.0276","0.0234","0.0192","0.015","0.0226666666666667","0.0303333333333333","0.038","0.0456666666666667","0.0533333333333333","0.061","0.0686666666666667","0.0763333333333333","0.084","0.0916666666666667","0.0993333333333333","0.107","0.114666666666667","0.122333333333333","0.13","0.1634","0.1968","0.2302","0.2636","0.297","0.309","0.321","0.333","0.345","0.357","0.358","0.359","0.36","0.361","0.362","0.361","0.36","0.359","0.358","0.357","0.3592","0.3614","0.3636","0.3658","0.368","0.4318","0.4956","0.5594","0.6232","0.687","0.7448","0.8026","0.8604","0.9182","0.976","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.123","0.1494","0.1758","0.2022","0.2286","0.255","0.255","0.255","0.255","0.255"
