iso,sector,fuel,units,X1850,X1851,X1852,X1853,X1854,X1855,X1856,X1857,X1858,X1859,X1860,X1861,X1862,X1863,X1864,X1865,X1866,X1867,X1868,X1869,X1870,X1871,X1872,X1873,X1874,X1875,X1876,X1877,X1878,X1879,X1880,X1881,X1882,X1883,X1884,X1885,X1886,X1887,X1888,X1889,X1890,X1891,X1892,X1893,X1894,X1895,X1896,X1897,X1898,X1899,X1900,X1901,X1902,X1903,X1904,X1905,X1906,X1907,X1908,X1909,X1910,X1911,X1912,X1913,X1914,X1915,X1916,X1917,X1918,X1919,X1920,X1921,X1922,X1923,X1924,X1925,X1926,X1927,X1928,X1929,X1930,X1931,X1932,X1933,X1934,X1935,X1936,X1937,X1938,X1939,X1940,X1941,X1942,X1943,X1944,X1945,X1946,X1947,X1948,X1949,X1950,X1951,X1952,X1953,X1954,X1955,X1956,X1957,X1958,X1959,X1960,X1961,X1962,X1963,X1964,X1965,X1966,X1967,X1968,X1969,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012
alb,2C_Metal-production,process,kt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3133192,2.494756,2.494756,2.721552,2.948348,4.649318,5.10064204,4.989512,4.989512,7.85167752,10.71384304,13.57600856,13.05437776,13.9706336,15.87572,15.8076812,16.102516,19.3683784,19.3683784,19.958048,22.5,15,24.25,24.75,25,25.5,27.5,31.5,31.5,34.25,39.75,42,43.25,29.5,12,5.75,5.75,3.75,7.25,3.56,0,4.08,3.2025,3.25,0,0,0,0,0,0,0,0,0,0,0,0
dza,2C_Metal-production,process,kt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04308083,0.086161662,0.129242492,0.172323324,0.215404154,0.172323324,0.129242492,0.086161662,0.04308083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.67724,37.47948,0,0,0,0,0,0,0,0,0,0,6.26318,6.72574,7.03346,9.27668,11.23668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00138934,8.00138934,19.6,19.6,25.186,26.754,19.6,26.46,27.93,30.576,34.3,30.576,28.42,18.62,37.24,27.9764,23.128,24.402,30.38,32.732,29.4,29.4,29.4,28.714,30.38,33.32,33.32,25.48,33.222,34.202,36.064,31.36,29.4,29.4,29.4,29.4,29.4,29.4,29.4
ago,2C_Metal-production,process,kt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.567591798,3.092553968,3.427196002,3.35411326,1.802066584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arg,2C_Metal-production,process,kt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066568,0.133136,0.199704,0.266272,0.33284,0.395592,0.458344,0.521096,0.583848,0.6466,0.51728,0.38796,0.25864,0.12932,0,0,0,0,0,0,0,0,0,0,0,0,0,2.470718,2.68796,2.646836,2.267482,1.037338,1.5751535,2.112969,2.6507845,3.1886,2.9502,3.0396,4.172,3.833472,5.370258,6.58828,7.80584,6.8678,6.76937,6.60234,7.88278,6.7853,7.973006,13.02948,15.58,15.69740911,15.24218029,17.91365342,18.58260123,20.96484988,22.08979644,25.25569084,21.78116642,23.29780692,22.51635362,23.73494522,26.47049548,28.62243474,32.67149178,33.35529608,34.03910036,27.9805254,30.66306222,42.7144269,45.78205624,38.20096588,29.29541776,31.34618912,48.44298506,42.7691214,40.25,29.5046,48.654,33.0606,34.534,34.466,36.128,32.0034,34.2918,34.51279412,38.44366824,40.69496236,39.56961648,37.3382706,41.5133051,40.2393051,36.8779051,41.32867996,42.2992403,42.9117403,45.10717482,45.19000578,47.44641002,49.4089572,48.47900394,48.39913734,49.04957032,45.1944824,47.29826792,52.36763754,52.56643692,54.03792474,48.40614552,55.00123642,55.78991886,50.40813688
arm,2C_Metal-production,process,kt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2,11.2,18.76,21,21,27.6668,24.6148,19.4712,18.144,19.2024,21.4032,24.8528,25.2
aus,2C_Metal-production,process,kt,6.630252518,7.675366766,8.720481014,9.765595262,10.81070951,11.85582376,12.900938,13.94605225,14.9911665,16.03628075,17.081395,17.55338091,18.02536682,18.49735274,18.96933865,19.44132457,19.91331048,20.3852964,20.8572823,21.32926822,21.80125414,22.5654218,23.32958948,24.09375716,24.85792482,25.6220925,26.38626016,27.15042784,27.9145955,28.67876318,29.44293084,28.29667934,31.81171034,35.0411757,38.18185756,41.08437644,44.6136587,48.51581452,51.52680076,54.537787,56.56485814,64.36722206,69.74318722,76.50549702,83.06567424,89.90389686,96.3885879,102.2525808,108.0405989,134.3088975,137.4328205,146.4947598,152.7790856,174.6786514,192.3631772,187.898769,179.2527626,185.3574211,210.318515,174.6537394,205.191946,201.1267058,205.5025376,198.7880288,186.91099,184.2182741,211.2889406,218.2478732,237.643181,155.9288282,82.17684294,81.21421386,100.8622983,120.5103827,140.1584672,159.8065516,179.454636,202.6384692,238.4300978,257.1334942,256.4330812,232.565208,253.4475848,261.4934026,253.5430714,278.9196666,291.497997,335.6493682,329.211376,379.2202118,395.2156676,373.700327,356.0974712,325.5091794,305.4449148,350.7565382,261.5054828,272.517125,264.8516646,251.4538222,273.5194526,274.5427874,331.7274846,376.77427,432.0298354,413.4343134,460.2530592,469.7936682,519.131823,520.1517294,534.4218118,505.2102,489.229591,533.3829622,492.3727306,455.5782086,496.3176024,537.056996,734.056825,884.3507308,875.2106934,952.7824082,721.1368584,775.1593182,660.5306558,794.0321964,799.982609,821.7497022,862.7664318,887.163355,873.2942466,843.1339294,864.9284548,799.0486216,767.0752474,727.5914234,728.4126312,725.2102084,708.2561484,863.1643168,837.5038356,888.085463,912.0780826,934.474337,913.9874188,805.2988712,783.4904214,542.387203,467.4848926,640.3393,812.9741362,668.7574538,625.9532828,590.8217332,572.4569036,569.5888578,570.1976874,579.1814918,613.863371,579.0992074,558.978544,558.978544,558.978544
aut,2C_Metal-production,process,kt,13.74986723,13.59906507,13.4482629,13.29746074,13.14665858,12.62790641,12.10915425,12.14700209,12.55444993,12.01699776,11.9074456,11.95726852,12.00709143,12.05691435,12.10673726,12.15656018,12.20638309,12.25620601,12.30602892,12.35585184,12.3828192,12.52449989,12.66618059,12.80786128,13.39760864,13.535256,14.68160336,15.27905072,14.29689808,13.92304544,14.4500928,15.0451212,15.9800496,15.898578,16.0910064,15.6399348,15.7201632,15.6584916,16.28542,17.53343333,18.47092481,17.7830204,17.84029143,18.42630483,19.43490602,19.07369568,18.87564727,17.48280381,18.48403083,17.65261172,17.44907262,18.09731988,19.72478714,21.0948544,21.71802166,22.05408892,25.41917338,25.61009784,27.18306232,27.68528678,30.55999124,35.51550028,40.94840934,26.8022298,24.54397028,22.19199076,18.96190932,16.24860789,12.50174646,9.27166503,13.23599217,13.18692371,13.5302724,13.87362108,14.21696977,14.56031845,14.89882636,15.64858428,15.67334219,12.54212296,14.89102373,12.25329087,6.358678012,5.022115152,5.145552292,8.126489432,10.45636357,12.56858771,11.55471185,11.49651599,11.84176576,12.29478126,11.02862876,9.762476256,8.496323754,7.230171252,5.18951548,3.593567708,11.70218686,16.101066,20.83392516,23.76801274,17.25375611,24.33833654,31.71375708,33.06364828,40.09264422,38.75848286,44.49224132,47.82508126,51.14402044,51.93736428,41.21889646,40.1713624,43.3808437,47.03479072,48.72944592,50.42410114,68.86417946,71.93172032,80.14742244,79.1273351,6.270527478,2.729787892,7.989745052,19.17353974,33.45135644,39.01981694,44.55324422,45.74777776,37.02544278,32.27066406,12.65944364,10.85044493,10.05056094,8.31638146,6.50344928,5.225227408,4.47040473,3.05727974,0.66,0.61,0.65,0.67,0.69,0.66,0.6,0.59,0.57,0.52,0.49,0.45,0.45,0.45,0.45,0.45,0.45,0.46,0.46,0.44,0.45,0.45,0.45
aze,2C_Metal-production,process,kt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002666378,0.005332756,0.007999136,0.010665514,0.013331892,0.010665514,0.007999136,0.005332756,0.002666378,0,0.008483932,0.016967864,0.025451794,0.033935726,0.042419658,0.058781526,0.075143394,0.091505262,0.10786713,0.124228998,0.138166884,0.152104772,0.16604266,0.179980548,0.193918434,0.233914112,0.27390979,0.313905466,0.353901144,0.39389682,0.418136626,0.44237643,0.466616234,0.490856038,0.515095842,0.542365622,0.569635402,0.596905182,0.624174962,0.651444742,0.66780661,0.684168478,0.700530346,0.716892214,0.733254082,0.783551676,0.83384927,0.884146864,0.934444458,0.984742052,1.001285718,1.017829384,1.034373052,1.050916718,1.067460384,1.02079876,0.974137138,0.77930971,0.584482282,0.389654856,0.389654856,0.389654856,0,0,0,0,0,0.725225616,1.168964566,1.168964566,1.241128644,1.500171192,2.400546666,0,0,0.77930971,2.143101702
bhr,2C_Metal-production,process,kt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03274023,0.06548046,0.098220692,0.130960922,0.163701152,0.661352654,1.159004156,1.65665566,2.154307162,2.651958664,2.812385794,2.972812922,3.133240052,3.29366718,3.45409431,4.15473524,4.855376172,5.556017102,6.256658034,6.957298964,7.225768854,7.494238744,7.762708634,8.031178522,8.299648412,8.84516521,11.37792177,17.53446848,17.41757202,17.57343396,17.96308882,18.70343304,19.52170824,19.59963921,19.83343212,20.33998344,20.2201256,20.7292876,20.7150652,29.25177962,33.99302196,33.7070153,33.96457716,33.03252276,33.14793852,34.34067202,34.6877376
bgd,2C_Metal-production,process,kt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
