Country,iso,Region
 Afghanistan    ,afg,South Asia  
 Albania        ,alb,Eastern Euro
 Algeria        ,dza,Northern Afr
 American Samoa ,asm,Oceania     
 Angola         ,ago,Southern Afr
 Antarctic Fishe,NA,Oceania     
 Antigua/Barbuda,atg,Central Amer
 Argentina      ,arg,South Americ
 Armenia        ,arm,Former USSR 
 Aruba          ,abw,Central Amer
 Australia      ,aus,Oceania     
 Austria        ,aut,OECD Europe 
 Azerbaijan     ,aze,Former USSR 
 Bahamas        ,bhs,Central Amer
 Bahrain        ,bhr,Middle East 
 Bangladesh     ,bgd,South Asia  
 Barbados       ,brb,Central Amer
 Belarus        ,blr,Former USSR 
 Belgium        ,bel,OECD Europe 
 Belize         ,blz,Central Amer
 Benin          ,ben,Western Afri
 Bermuda        ,bmu,Central Amer
 Bhutan         ,btn,South Asia  
 Bolivia        ,bol,South Americ
 Bosnia-Herzegov,bih,Eastern Euro
 Botswana       ,bwa,Southern Afr
 Brazil         ,bra,South Americ
 British Virgin ,vgb,Central Amer
 Brunei Darussal,brn,Southeast As
 Bulgaria       ,bgr,Eastern Euro
 Burkina Faso   ,bfa,Western Afri
 Burundi        ,bdi,Eastern Afri
 Cambodia       ,khm,Southeast As
 Cameroon       ,cmr,Western Afri
 Canada         ,can,Canada      
 Cape Verde     ,cpv,Western Afri
 Cayman Island  ,cym,Central Amer
 Central African,caf,Western Afri
 Chad           ,tcd,Western Afri
 Chile          ,chl,South Americ
 China          ,chn,East Asia   
 Chinese Taipei ,twn,East Asia   
 Colombia       ,col,South Americ
 Comoros        ,com,Eastern Afri
 Congo          ,cog,Western Afri
 Cook Islands   ,cok,Oceania     
 Costa Rica     ,cri,Central Amer
 Cote d'Ivoire  ,civ,Western Afri
 Croatia        ,hrv,Eastern Euro
 Cuba           ,cub,Central Amer
 Cyprus         ,cyp,Middle East 
 Czech Republic ,cze,Eastern Euro
 Czechoslovakia ,csk,Eastern Euro
 Dem. Republic C,cod,Western Afri
 Democratic Yeme,yem,Middle East 
 Denmark        ,dnk,OECD Europe 
 Djibouti       ,dji,Eastern Afri
 Dominica       ,dma,Central Amer
 Dominican Repub,dom,Central Amer
 E&W Pakistan   ,pak,South Asia  
 Ecuador        ,ecu,South Americ
 Egypt          ,egy,Northern Afr
 El Salvador    ,slv,Central Amer
 Equatorial Guin,gnq,Western Afri
 Eritrea        ,eri,Eastern Afri
 Estonia Islands,est,Former USSR 
 Ethiopia       ,eth,Eastern Afri
 Ethiopia (incl ,eth,Eastern Afri
 Faeroe Islands ,fro,OECD Europe 
 Falkland Island,flk,South Americ
 Fiji           ,fji,Oceania     
 Finland        ,fin,OECD Europe 
 France         ,fra,OECD Europe 
 French Equatori,NA,Western Afri
 French Guiana  ,guf,South Americ
 French Indochin,NA,Southeast As
 French Polynesi,pyf,Oceania     
 Gabon          ,gab,Western Afri
 Gambia         ,gmb,Western Afri
 Georgia        ,geo,Former USSR 
 Germany        ,geo,OECD Europe 
 Germany: Democr,deu,OECD Europe 
 Germany: Federa,deu,OECD Europe 
 Ghana          ,gha,Western Afri
 Gibraltar      ,gib,OECD Europe 
 Greece         ,grc,OECD Europe 
 Greenland      ,grl,OECD Europe 
 Grenada        ,grd,Central Amer
 Guadeloupe     ,glp,Central Amer
 Guam           ,gum,Oceania     
 Guatemala      ,gtm,Central Amer
 Guernsey       ,NA,OECD Europe 
 Guinea         ,gin,Western Afri
 Guinea Bissau  ,gnb,Western Afri
 Guyana         ,guy,South Americ
 Haiti          ,hti,Central Amer
 Honduras       ,hnd,Central Amer
 Hong Kong      ,hkg,East Asia   
 Hungary        ,hun,Eastern Euro
 Iceland        ,isl,OECD Europe 
 India          ,ind,South Asia  
 Indonesia      ,idn,Southeast As
 Iran           ,irn,Middle East 
 Iraq           ,irq,Middle East 
 Ireland        ,irl,OECD Europe 
 Isle of Man    ,irn,OECD Europe 
 Israel         ,isr,Middle East 
 Italy          ,ita,OECD Europe 
 Jamaica        ,jam,Central Amer
 Japan          ,jpn,Japan       
 Japan (<1973)  ,jpn,Japan       
 Jersey         ,NA,OECD Europe 
 Jordan         ,jor,Middle East 
 Kazakhstan     ,kaz,Former USSR 
 Kenya          ,ken,Eastern Afri
 Kiribati       ,kir,Oceania     
 Korea: Dem Peop,prk,East Asia   
 Korea: Republic,kor,East Asia   
 Kuwait         ,kwt,Middle East 
 Kyrgyzstan     ,kgz,Former USSR 
 Lao: Peoples De,lao,Southeast As
 Latvia         ,lva,Former USSR 
 Lebanon        ,lbn,Middle East 
 Lesotho        ,lso,Southern Afr
 Liberia        ,lbr,Western Afri
 Libyan Arab Jam,lby,Northern Afr
 Liechtenstein  ,lie,OECD Europe 
 Lithuania      ,ltu,Former USSR 
 Luxembourg     ,lux,OECD Europe 
 Macau          ,mac,East Asia   
 Macedonia TFYR ,mkd,Eastern Euro
 Madagascar     ,mdg,Eastern Afri
 Malawi         ,mwi,Southern Afr
 Malaysia       ,mys,Southeast As
 Maldives       ,mdv,South Asia  
 Mali           ,mli,Western Afri
 Malta          ,mlt,OECD Europe 
 Martinique     ,mtq,Central Amer
 Mauritania     ,mrt,Western Afri
 Mauritius      ,mus,Eastern Afri
 Mexico         ,mex,Central Amer
 Micronesia     ,fsm,Oceania     
 Moldova Rep. of,mda,Former USSR 
 Monaco         ,NA,OECD Europe 
 Mongolia       ,mng,East Asia   
 Montserrat (195,msr,Central Amer
 Morocco        ,mar,Northern Afr
 Mozambique     ,moz,Southern Afr
 Myanmar        ,mmr,Southeast As
 Namibia        ,nam,Southern Afr
 Nauru          ,NA,Oceania     
 Nepal          ,npl,South Asia  
 Netherlands    ,nld,OECD Europe 
 Netherlands Ant,ant,Central Amer
 New Caledonia  ,ncl,Oceania     
 New Zealand    ,nzl,Oceania     
 Nicaragua      ,nic,Central Amer
 Niger          ,ner,Western Afri
 Nigeria        ,nga,Western Afri
 Niue           ,niu,Oceania     
 Norway         ,nor,OECD Europe 
 Oman           ,omn,Middle East 
 Other Africa   ,NA,Western Afri
 Other Asia     ,NA,Southeast As
 Other Latin Ame,NA,Central Amer
 Pacific Islands,NA,Oceania     
 Pakistan       ,pak,South Asia  
 Panama         ,pan,Central Amer
 Panama Canal Zo,NA,Central Amer
 Papua New Guine,png,Oceania     
 Paraguay       ,pry,South Americ
 Peninsular Mala,NA,Southeast As
 Peru           ,per,South Americ
 Philippines    ,phl,Southeast As
 Poland         ,pol,Eastern Euro
 Portugal       ,prt,OECD Europe 
 Puerto Rico    ,pri,USA         
 Qatar          ,qat,Middle East 
 Reunion        ,reu,Eastern Afri
 Rhodesia-Nyasal,NA,Southern Afr
 Romania        ,rou,Eastern Euro
 Russian Federat,rus,Former USSR 
 Rwanda-Urundi  ,rwa,Eastern Afri
 S. Africa: Cust,NA,Southern Afr
 Sabah          ,NA,Southeast As
 Samoa          ,wsm,Oceania     
 Sao Tome & Prin,stp,Western Afri
 Sarawak        ,NA,Southeast As
 Saudi Arabia   ,sau,Middle East 
 Senegal        ,sen,Western Afri
 Serbia and Mont,scg,Eastern Euro
 Seychelles     ,syc,Eastern Afri
 Sierra Leone   ,sle,Western Afri
 Singapore      ,sgp,Southeast As
 Slovak Republic,svk,Eastern Euro
 Slovenia       ,svn,Eastern Euro
 Solomon Islands,slb,Oceania     
 Somalia        ,som,Eastern Afri
 South Africa   ,zaf,Southern Afr
 Spain          ,esp,OECD Europe 
 Sri Lanka      ,lka,South Asia  
 St. Helena     ,NA,Western Afri
 St. Kitts-Nevis,kna,Central Amer
 St. Lucia      ,lca,Central Amer
 St. Pierre & Mi,spm,USA         
 St. Vincent & G,vct,Central Amer
 Sudan          ,sdn,Eastern Afri
 Suriname       ,sur,South Americ
 Swaziland      ,swz,Southern Afr
 Sweden         ,swe,OECD Europe 
 Switzerland    ,che,OECD Europe 
 Syrian Arab Rep,syr,Middle East 
 Tajikistan     ,tjk,Former USSR 
 Tanganyika     ,tza,Southern Afr
 Tanzania       ,tza,Southern Afr
 Thailand       ,tha,Southeast As
 Togo           ,tgo,Western Afri
 Tonga          ,ton,Oceania     
 Trinidad & Toba,tto,Central Amer
 Tunisia        ,tun,Northern Afr
 Turkey         ,tur,Middle East 
 Turkmenistan   ,tkm,Former USSR 
 Turks & Caicos ,tca,Central Amer
 U.S. Virgin Isl,vir,Central Amer
 Uganda         ,uga,Eastern Afri
 Ukraine        ,ukr,Former USSR 
 United Arab Emi,are,Middle East 
 United Kingdom ,gbr,OECD Europe 
 United Korea   ,NA,East Asia   
 Uruguay        ,ury,South Americ
 USA            ,usa,USA         
 USSR (Former)  ,ussr,Former USSR 
 Uzbekistan     ,uzb,Former USSR 
 Vanuatu        ,vut,Oceania     
 Venezuela      ,ven,South Americ
 Vietnam        ,vnm,Southeast As
 Wake Island    ,NA,Oceania     
 Western Sahara ,esh,Northern Afr
 Yemen          ,yem,Middle East 
 Yemen (Former) ,yem,Middle East 
 Yugoslavia     ,yug,Eastern Euro
 Zambia         ,zmb,Southern Afr
 Zanzibar       ,tza,Southern Afr
 Zimbabwe       ,zwe,Southern Afr
 French West Afr,NA,Western Afri
